Building,Room,Printer name,Campus,lat,lng
Cougar Center,199,KO_UPRN_KM199_MFP1,Kokomo,40.4594494,-86.1317354
Fine Arts,100,KO_UPRN_FA100_MFP1,Kokomo,40.486427,-86.13360329999999
Hunt Hall,107,KO_UPRN_SM107_MFP1,Kokomo,40.4596077,-86.13021959999999
Hunt Hall,124,KO_UPRN_SM124_MFP1,Kokomo,40.4596077,-86.13021959999999
Hunt Hall,210,KO_UPRN_SM210_MFP1,Kokomo,40.4596077,-86.13021959999999
Hunt Hall,234,KO_UPRN_SM234_MFP1,Kokomo,40.4596077,-86.13021959999999
Hunt Hall,299,KO_UPRN_SM299_MFP1,Kokomo,40.4596077,-86.13021959999999
Kelley Student Center,115,KO_UPRN_KC115_MFP1,Kokomo,40.4588336,-86.13176539999999
Kelley Student Center,145,KO_UPRN_KC145_MFP1,Kokomo,40.4588336,-86.13176539999999
Kelley Student Center,208,KO_UPRN_KC208_MFP1,Kokomo,40.4588336,-86.13176539999999
Kelley Student Center,210,KO_UPRN_KC210_MFP1,Kokomo,40.4588336,-86.13176539999999
Kelley Student Center,223,KO_UPRN_KC223_MFP1,Kokomo,40.4588336,-86.13176539999999
Kelley Student Center,234,KO_UPRN_KC234_MFP1,Kokomo,40.4588336,-86.13176539999999
Kelley Student Center,274,KO_UPRN_KC274_MFP1,Kokomo,40.4588336,-86.13176539999999
Kokomo East,199,KO_UPRN_KE199_MFP1,Kokomo,40.4594494,-86.1317354
Kokomo East,204,KO_UPRN_KE204_MFP1,Kokomo,40.4594494,-86.1317354
Kokomo East,309,KO_UPRN_KE309_MFP1,Kokomo,40.4594494,-86.1317354
Kokomo Library,26,KO_UPRN_KA026_MFP1,Kokomo,40.4871195,-86.1308507
Kokomo Library,115,KO_UPRN_KA115_MFP1,Kokomo,40.4871195,-86.1308507
Kokomo Library,165,KO_UPRN_KA165_MFP1,Kokomo,40.4871195,-86.1308507
Kokomo Library,200,KO_UPRN_KA200_MFP1,Kokomo,40.4871195,-86.1308507
Kokomo Main,36,KO_UPRN_KO036_MFP1,Kokomo,40.4594494,-86.1317354
Kokomo Main,73,KO_UPRN_KO073_MFP1,Kokomo,40.4594494,-86.1317354
Kokomo Main,111,KO_UPRN_KO111_MFP1,Kokomo,40.4594494,-86.1317354
Kokomo Main,172,KO_UPRN_KO172_MFP1,Kokomo,40.4594494,-86.1317354
Kokomo Main,190,KO_UPRN_KO190_MFP1,Kokomo,40.4594494,-86.1317354
Kokomo Main,205,KO_UPRN_KO205_MFP1,Kokomo,40.4594494,-86.1317354
Kokomo Main,218,KO_UPRN_KO218_MFP1,Kokomo,40.4594494,-86.1317354
Kokomo Main,275,KO_UPRN_KO275_MFP1,Kokomo,40.4594494,-86.1317354
Kokomo Main,280,KO_UPRN_KO280_MFP1,Kokomo,40.4594494,-86.1317354
Student Activities and Events Center,100,KO_UPRN_EC100_MFP1,Kokomo,40.4594494,-86.1317354
